Tree Comparison Metric,condition,Num Differentia Bits,Num Column Bits,RPR,TDPR,sign
Generalized Robinson-Foulds Similarity,tournament,8,64,0.0,0.0,0.0
Generalized Robinson-Foulds Similarity,tournament,8,512,0.0,0.0,0.0
Generalized Robinson-Foulds Similarity,tournament,8,4096,0.0,0.0,0.0
Generalized Robinson-Foulds Similarity,tournament,64,64,0.0,0.0,0.0
Generalized Robinson-Foulds Similarity,tournament,64,512,0.0,0.0,0.0
Generalized Robinson-Foulds Similarity,tournament,64,4096,0.0,0.0,0.0
Mutual Clustering Information,ecoea,1,64,0.7327002,0.68352682,0.0
Mutual Clustering Information,ecoea,1,512,0.69242131,0.69076868,0.0
Mutual Clustering Information,ecoea,1,4096,0.77343524,0.75375606,0.0
Mutual Clustering Information,ecoea,8,64,0.73891815,0.68449434,0.0
Mutual Clustering Information,ecoea,8,512,0.77699572,0.78211568,1.0
Mutual Clustering Information,ecoea,8,4096,0.77923387,0.77923387,0.0
Mutual Clustering Information,ecoea,64,64,0.76353253,0.61223714,0.0
Mutual Clustering Information,ecoea,64,512,0.76353253,0.61381997,0.0
Mutual Clustering Information,ecoea,64,4096,0.77923387,0.77783636,0.0
Mutual Clustering Information,lexicase,1,64,0.49694107,0.58129219,1.0
Mutual Clustering Information,lexicase,1,512,0.58712533,0.61765009,1.0
Mutual Clustering Information,lexicase,1,4096,0.55516873,0.61765009,1.0
Mutual Clustering Information,lexicase,8,64,0.53130189,0.47847215,0.0
Mutual Clustering Information,lexicase,8,512,0.53758344,0.53758344,0.0
Mutual Clustering Information,lexicase,8,4096,0.55516873,0.55516873,0.0
Mutual Clustering Information,lexicase,64,64,0.53130189,0.48501846,0.0
Mutual Clustering Information,lexicase,64,512,0.53130189,0.47847215,0.0
Mutual Clustering Information,lexicase,64,4096,0.53758344,0.53758344,0.0
Mutual Clustering Information,random,1,64,0.50890079,0.53252454,1.0
Mutual Clustering Information,random,1,512,0.54839495,0.50245234,0.0
Mutual Clustering Information,random,1,4096,0.53078963,0.51137401,0.0
Mutual Clustering Information,random,8,64,0.5767782,0.47831995,0.0
Mutual Clustering Information,random,8,512,0.55033495,0.5436817,0.0
Mutual Clustering Information,random,8,4096,0.55033495,0.54309559,0.0
Mutual Clustering Information,random,64,64,0.5767782,0.47757262,0.0
Mutual Clustering Information,random,64,512,0.5767782,0.47757262,0.0
Mutual Clustering Information,random,64,4096,0.55033495,0.5436817,0.0
Mutual Clustering Information,sharing,1,64,0.85702133,0.57941904,0.0
Mutual Clustering Information,sharing,1,512,0.75676843,0.70076968,0.0
Mutual Clustering Information,sharing,1,4096,0.83529931,0.7253681,0.0
Mutual Clustering Information,sharing,8,64,0.59156955,0.50361655,0.0
Mutual Clustering Information,sharing,8,512,0.80361689,0.58438899,0.0
Mutual Clustering Information,sharing,8,4096,0.80361689,0.71300752,0.0
Mutual Clustering Information,sharing,64,64,0.59156955,0.4889657,0.0
Mutual Clustering Information,sharing,64,512,0.59156955,0.49271413,0.0
Mutual Clustering Information,sharing,64,4096,0.80361689,0.60322108,0.0
Mutual Clustering Information,tournament,1,64,,,
Mutual Clustering Information,tournament,1,512,,,
Mutual Clustering Information,tournament,1,4096,,,
Mutual Clustering Information,tournament,8,64,,,
Mutual Clustering Information,tournament,8,512,,,
Mutual Clustering Information,tournament,8,4096,,,
Mutual Clustering Information,tournament,64,64,,,
Mutual Clustering Information,tournament,64,512,,,
Mutual Clustering Information,tournament,64,4096,,,
